State,Enacted Date,Technology Categories
RI,1993-08-26 00:00:00 UTC,elec
OH,1996-08-15 00:00:00 UTC,elec|cng|lpg
NY,2015-01-27 00:00:00 UTC,cng
CA,2014-06-20 00:00:00 UTC,elec
CO,2012-01-12 00:00:00 UTC,elec
MA,1999-01-01 00:00:00 UTC,elec
NY,2011-01-01 00:00:00 UTC,elec
UT,2015-03-27 00:00:00 UTC,hy|cng
KY,2014-08-01 00:00:00 UTC,bd|e85|hy|cng|lpg
WY,2015-02-25 00:00:00 UTC,bd|e85|cng|lpg
WY,2015-02-25 00:00:00 UTC,elec
WY,2015-02-25 00:00:00 UTC,e85|elec|cng|elec|lpg|RD
WY,2015-02-25 00:00:00 UTC,bd|e85|cng|lpg
WY,2015-02-25 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg|RD
ID,2015-03-30 00:00:00 UTC,cng
MA,2014-07-15 00:00:00 UTC,IR
MD,2014-04-08 00:00:00 UTC,IR
TN,2013-03-26 00:00:00 UTC,IR
GA,2015-05-04 00:00:00 UTC,elec|cng|elec|lpg
ME,2015-09-15 00:00:00 UTC,elec
ID,2015-04-02 00:00:00 UTC,elec
NJ,2015-03-18 00:00:00 UTC,elec
ID,2015-04-21 00:00:00 UTC,elec|NEVS|elec
CT,2019-06-26 00:00:00 UTC,elec|hy|elec
WA,2015-05-11 00:00:00 UTC,elec
CA,2015-04-09 00:00:00 UTC,elec|EFFEC|elec|OTHER|elec
TN,2015-04-24 00:00:00 UTC,cng
IN,2015-04-30 00:00:00 UTC,lpg
OK,2015-06-04 00:00:00 UTC,cng
OK,2015-05-06 00:00:00 UTC,cng
WA,2015-04-17 00:00:00 UTC,hy|cng
UT,2015-04-01 00:00:00 UTC,elec|hy|cng
MN,2009-05-16 00:00:00 UTC,bd|e85
MN,2005-05-10 00:00:00 UTC,bd|e85
US,2015-07-15 00:00:00 UTC,bd|e85
WA,2015-07-15 00:00:00 UTC,elec|hy|cng|lpg
TX,2015-06-16 00:00:00 UTC,elec|cng|elec
OR,2015-06-02 00:00:00 UTC,e85|elec|cng|OTHER|elec|lpg
CA,2015-10-01 00:00:00 UTC,elec
CA,2015-10-12 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
CA,2015-10-08 00:00:00 UTC,elec|hy|elec
NJ,2015-08-10 00:00:00 UTC,bd
MI,2015-11-10 00:00:00 UTC,hy|cng|lpg
MI,2015-11-11 00:00:00 UTC,hy|cng|lpg
MI,2015-11-10 00:00:00 UTC,elec
US,2015-12-04 00:00:00 UTC,elec
US,2015-12-04 00:00:00 UTC,elec|hy|cng|elec|lpg
NY,2013-11-22 00:00:00 UTC,elec
US,2015-12-04 00:00:00 UTC,elec|cng|elec
RI,2015-01-29 00:00:00 UTC,elec|hy|elec
UT,2016-03-21 00:00:00 UTC,OTHER
UT,2016-03-29 00:00:00 UTC,elec
NY,2016-04-12 00:00:00 UTC,elec
OR,2016-03-08 00:00:00 UTC,elec
AL,2015-04-02 00:00:00 UTC,bd|e85
CO,2016-06-06 00:00:00 UTC,elec
CO,2016-03-09 00:00:00 UTC,hy
CT,2016-06-07 00:00:00 UTC,elec
CT,2016-06-07 00:00:00 UTC,elec|hy|elec
CT,2016-06-07 00:00:00 UTC,elec
CT,2016-06-07 00:00:00 UTC,elec|hy|elec
CT,2016-06-07 00:00:00 UTC,elec
CT,2016-06-07 00:00:00 UTC,elec
MN,2016-07-01 00:00:00 UTC,elec
SC,2016-06-06 00:00:00 UTC,cng|lpg
MO,2016-06-24 00:00:00 UTC,bd|e85|cng|lpg
OK,2009-04-24 00:00:00 UTC,elec|hy|IR|cng|elec
OK,2016-04-21 00:00:00 UTC,|bd|e85|elec|hy|cng|OTHER|elec|lpg
OK,2016-04-21 00:00:00 UTC,|bd|e85|elec|hy|cng|OTHER|elec|lpg
MD,2016-06-28 00:00:00 UTC,elec
LA,2016-05-27 00:00:00 UTC,cng
NH,2016-05-06 00:00:00 UTC,OTHER
NH,2016-05-06 00:00:00 UTC,elec
CA,2016-08-05 00:00:00 UTC,IR
MA,2017-01-03 00:00:00 UTC,elec
MA,2017-01-03 00:00:00 UTC,elec|hy|elec
MA,2017-01-03 00:00:00 UTC,elec
MA,2017-01-03 00:00:00 UTC,elec|hy|elec
VA,2017-02-23 00:00:00 UTC,elec
UT,2015-05-12 00:00:00 UTC,|elec|hy|cng|elec|lpg
UT,2016-03-23 00:00:00 UTC,AUTONOMOUS
UT,2017-03-22 00:00:00 UTC,hy|cng
KY,2017-03-29 00:00:00 UTC,OTHER
CA,2017-04-28 00:00:00 UTC,elec|hy
TN,2017-04-26 00:00:00 UTC,elec
ND,2017-01-03 00:00:00 UTC,AUTONOMOUS
WA,2015-07-16 00:00:00 UTC,elec|hy|elec
IN,2017-04-27 00:00:00 UTC,bd|cng
IN,2017-04-27 00:00:00 UTC,bd|cng|lpg
IA,2017-05-11 00:00:00 UTC,IR|cng
MO,2017-06-28 00:00:00 UTC,IR|cng
CO,2017-06-01 00:00:00 UTC,AUTONOMOUS
MO,2017-06-28 00:00:00 UTC,lpg
WV,2017-06-16 00:00:00 UTC,elec|hy|cng|elec
TX,2017-06-12 00:00:00 UTC,elec|hy|cng|elec|lpg
MN,2017-05-30 00:00:00 UTC,elec
SC,2016-05-25 00:00:00 UTC,IR|cng
SC,2018-01-01 00:00:00 UTC,elec|hy|elec
CA,2017-01-01 00:00:00 UTC,cng
